Designator,Mid X,Mid Y,Rotation,Layer
BT1,42.00mm,15.00mm,0,Top
C1,11.00mm,16.50mm,0,Top
C10,25.00mm,22.00mm,0,Top
C11,31.50mm,23.00mm,0,Top
C12,19.00mm,3.00mm,0,Top
C13,26.00mm,3.00mm,0,Top
C14,9.00mm,9.00mm,0,Top
C15,11.00mm,9.00mm,0,Top
C2,17.00mm,16.50mm,0,Top
C3,11.00mm,18.00mm,0,Top
C4,17.00mm,18.00mm,0,Top
C5,30.00mm,4.00mm,0,Top
C6,36.00mm,4.00mm,0,Top
C7,7.50mm,23.00mm,0,Top
C8,12.50mm,23.00mm,0,Top
C9,20.00mm,22.00mm,0,Top
D1,7.00mm,7.00mm,0,Top
D2,7.00mm,4.00mm,0,Top
J1,22.50mm,1.50mm,0,Top
J2,1.50mm,15.00mm,90,Top
J3,42.00mm,4.00mm,0,Top
L1,22.50mm,8.50mm,0,Top
L2,27.50mm,8.50mm,0,Top
R1,19.50mm,5.00mm,90,Top
R2,25.50mm,5.00mm,90,Top
R3,7.00mm,9.50mm,90,Top
R4,14.00mm,8.00mm,0,Top
R5,14.00mm,9.50mm,0,Top
R6,7.50mm,27.00mm,0,Top
R7,20.00mm,28.00mm,0,Top
R8,25.00mm,28.00mm,0,Top
R9,3.50mm,22.50mm,0,Top
SPK1,42.00mm,21.00mm,0,Top
SW1,3.50mm,25.00mm,0,Top
U1,14.00mm,14.00mm,0,Top
U2,33.00mm,8.00mm,0,Top
U3,10.00mm,25.00mm,0,Top
U4,22.50mm,25.00mm,0,Top
U5,34.00mm,25.00mm,0,Top
U6,22.50mm,5.00mm,0,Top
Y1,10.00mm,10.00mm,0,Top
Y2,10.00mm,12.00mm,0,Top
