Category,Ref,Part,Description,Qty,Unit USD,Subtotal USD,Source
Audio,SPK1,40mm full-range,"Neodymium, 4ohm, ~76dB/W/m sensitivity",1,3.50,3.50,AliExpress/LCSC
Audio,U-AMP,MAX98357A,"I2S Class-D 3W, TQFN-16",1,1.80,1.80,LCSC
Audio,U-MIC,INMP441,"MEMS mic, I2S, 61dB SNR",1,1.20,1.20,LCSC
,,,,,,,,
MCU,U1,ESP32-S3-MINI-1-N8R2,"8MB Flash, 2MB PSRAM, WiFi 2.4GHz + BLE 5.0",1,3.50,3.50,LCSC
,,,,,,,,
GPS,U-GPS,u-blox MAX-M10S,"Low-power GPS, 1PPS, <1mA tracking",1,9.00,9.00,Mouser
GPS,ANT-GPS,Chip GPS antenna,"Ceramic chip 7x3mm",1,1.50,1.50,LCSC
,,,,,,,,
Cellular,U-LTE,SIM7080G,"LTE-M / NB-IoT, low power, global bands",1,9.00,9.00,AliExpress
Cellular,ANT-LTE,Chip LTE antenna,"PCB trace or ceramic chip",1,1.50,1.50,LCSC
Cellular,SIM,Nano SIM holder,,1,0.30,0.30,LCSC
,,,,,,,,
Power,BAT,2500mAh LiPo,"3.7V, 803048 pouch cell",1,4.00,4.00,AliExpress
Power,U-CHG,MCP73831,"500mA LiPo charger, SOT-23-5",1,0.45,0.45,LCSC
Power,U-LDO,AP2112K-3.3,"LDO 3.3V 600mA",1,0.15,0.15,LCSC
Power,D1,SS14,"Schottky diode (power path)",1,0.02,0.02,LCSC
Power,Passives,"R+C (power)","Decoupling, divider, PROG resistor",1,0.50,0.50,LCSC
,,,,,,,,
UI,LED1-5,WS2812B-2020 x5,"RGB LED ring",5,0.08,0.40,LCSC
UI,SW1,Tact switch,"Side button, low profile",1,0.02,0.02,LCSC
,,,,,,,,
Connector,J1,USB-C 16P,"Charging + data",1,0.25,0.25,LCSC
Connector,Passives,"R+C (USB/misc)","CC pulldowns, bypass caps",1,0.30,0.30,LCSC
,,,,,,,,
PCB,PCB,Main PCB,"2-layer 40x55mm, ENIG",1,2.00,2.00,JLCPCB
PCB,PCBA,Assembly,"SMT assembly",1,8.00,8.00,JLCPCB
,,,,,,,,
Enclosure,CASE,PC/ABS shell,"Injection mold (tooling amortized @500 units)",1,1.80,1.80,Custom
Enclosure,BUMPER,TPU bumper,"Overmold or separate piece",1,0.80,0.80,Custom
,,,,,,,,
TOTAL,,,,,,50.49,
,,,,,,,,
,,,TOTAL BOM (per unit @500台),,,$50,
,,,金型費 (射出成形, 500台で割賦),,,$4/台,
,,,GRAND TOTAL PER UNIT,,,$54,
,,,Suggested retail (3x markup),,,$160,
