Comment,Designator,Footprint,LCSC Part#
ESP32-S3-MINI-1-N8R2,U1,ESP32-S3-MINI-1,C2913196
INMP441,U2,LGA-6_4x3mm,C110326
INMP441,U3,LGA-6_4x3mm,C110326
MAX98357AETE+T,U4,TQFN-16_3x3mm,C2682619
MCP73831T-2ACI/OT,U5,SOT-23-5,C424093
AP2112K-3.3TRG1,U6,SOT-23-5,C51118
PCM5102A,U7,SSOP-20,C7853
SS14,D1,SMA,C2480
WS2812B-2020,LED1,LED-2020,C2976072
TYPE-C-31-M-12,J1,USB-C-SMD-16P,C168688
CUI-SJ1-3535NG,J2,Audio-Jack-3.5mm-SMD,C145819
PTS636 SM25F SMTR LFS,SW1,SW-SMD-3x4x2mm,C318884
RC0402JR-0710KL,R1 R2 R5,R_0402,C25744
RC0402JR-075K1L,R3 R4,R_0402,C25905
RC0402JR-072KL,R6,R_0402,C25867
RC0402JR-0733RL,R7 R8,R_0402,C25100
CL21A106KAYNNNE,C1 C7,C_0805,C15850
CL05B104KO5NNNC,C2 C8,C_0402,C1525
GRM188R61E106KA73D,C3 C4,C_0603,C19702
CL10A475KO8NNNC,C5 C6,C_0402,C23733
GRM21BR61E106KA73L,C9,C_0402,C15525
