Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
U1,20.0,20.0,Top,0
U2,8.0,8.0,Top,90
U3,32.0,8.0,Top,270
U4,32.0,30.0,Top,0
U5,8.0,33.0,Top,0
U6,8.0,28.0,Top,0
U7,20.0,33.0,Top,0
D1,5.0,26.0,Top,0
LED1,20.0,8.0,Top,0
J1,20.0,38.0,Top,0
J2,32.0,38.0,Top,0
SW1,32.0,14.0,Top,0
R1,14.0,14.0,Top,0
R2,26.0,14.0,Top,0
R3,18.0,37.0,Top,0
R4,22.0,37.0,Top,0
R5,8.0,14.0,Top,0
R6,5.0,33.0,Top,0
R7,26.0,36.0,Top,0
R8,28.0,36.0,Top,0
C1,14.0,20.0,Top,0
C2,14.0,24.0,Top,0
C3,6.0,28.0,Top,0
C4,6.0,24.0,Top,0
C5,5.0,30.0,Top,0
C6,5.0,36.0,Top,0
C7,32.0,26.0,Top,0
C8,32.0,22.0,Top,0
C9,26.0,33.0,Top,0
