Comment,Designator,Footprint,LCSC Part #
100nF 0402,C1 C2 C4,0402,C1525
10uF 0402,C3 C5,0402,C15849
1uF 0402,C6,0402,C14445
4.7uF 0402,C7,0402,C23733
USB-C 6P Charging,J1,USBC_6P,C2765186
WS2812B-2020,LED1,WS2812B,C2976072
10k 0402,R1,0402,C25744
5.1k 0402,R2 R3,0402,C25905
3x4mm Tact Switch,SW1,SW_3X4,C2936178
ESP32-C3-MINI-1,U1,ESP32C3,C2838502
MAX98357AETE+T,U2,MAX98357,C1506581
AP2112K-3.3TRG1,U3,SOT23_5_LDO,C51118
TP4054,U4,SOT23_5_CHG,C32574
JST-PH-2P Battery,BT1,JST_PH2,C131337
JST-PH-2P Speaker,SPK1,JST_PH2,C131337
