Comment,Designator,Footprint,LCSC Part#
nRF54L15-QFAA-R,U1,NRF54L15,C42458750
SPH0645LM4H,U2,SPH0645,C19272537
MAX98357AETE+T,U3,MAX98,C2682619
BQ25100DSGR,U4,WSON6,C527574
XC6220B331MR-G,U5,SOT23,C86534
WS2812B-2020,LED1,LED2020,C2976072
TYPE-C-16PIN-2MD,J1,USBC,C2765186
EVQP0N02B,SW1,SW,C2936178
Speaker pads,SP1,SPK_PAD,
150mAh LiPo 402025,BT1,BAT_PAD,
FC-12M 32.768kHz,Y1,XTAL_1610,C32346
5.1k,R1 R2,0402,C25905
10k,R3,0402,C25744
100nF,C1 C2 C3 C4 C5 C6,0402,C1525
10uF,C7 C8,0603,C19702
1uF,C9,0402,C52923
12pF,C10 C11,0402,C1547
15nH,L1,0402,C76862
