Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
U1,10.0,10.0,Top,0
U2,10.0,3.5,Top,0
U3,15.5,6.5,Top,0
U4,4.0,13.5,Top,0
U5,4.5,8.5,Top,180
LED1,10.0,6.5,Top,0
J1,10.0,18.8,Top,0
SW1,3.5,10.0,Top,0
SP1,16.5,14.5,Top,0
BT1,6.5,16.5,Top,0
Y1,15.0,12.5,Top,0
R1,7.5,17.0,Top,0
R2,12.5,17.0,Top,0
R3,5.0,12.0,Top,90
C1,7.5,7.5,Top,0
C2,12.5,7.5,Top,0
C3,7.5,12.5,Top,0
C4,12.5,12.5,Top,0
C5,13.5,3.5,Top,0
C6,17.0,5.5,Top,90
C7,6.0,5.5,Top,90
C8,4.5,15.5,Top,0
C9,14.5,14.0,Top,90
C10,15.0,11.0,Top,0
C11,15.0,14.0,Top,0
L1,8.0,13.5,Top,0
