Comment,Designator,Footprint,LCSC Part#
ESP32-S3-MINI-1-N8R2,U1,ESP32S3,C2913202
TPA3116D2DADR,U2,TPA3116,C37833
PCM5102APWR,U3,PCM5102,C107634
LM2596S-5.0/NOPB,U4,TO263,C29781
AMS1117-3.3,U5,SOT223,C6186
DF40HC(3.0)-100DS-0.4V,J1 J2,CM5_CONN,C2906057
NL4MP,J3,SPEAKON,
TYPE-C-16PIN-2MD,J4,USBC,C2765186
PJ-102AH (5.5x2.1mm),J5,DC_BARREL,C136744
2-pin header 2.54mm,J6,FAN_HDR,C49661
WS2812B-5050,LED1 LED2,WS2812B,C114586
EVQP0N02B,SW1,SW,C2936178
M4 mounting hole,MH1 MH2 MH3 MH4,M4_HOLE,
SS34 (3A Schottky),D1,SMB,C8678
33uH 3A,L1,IND_12MM,C408428
680uF/35V,C1,CAP_8MM,C249462
220uF/10V,C2,CAP_8MM,C65221
100nF,C3 C5 C8 C11,0805,C49678
10uF,C4 C6 C9,0805,C15850
10uF/50V,C7,1206,C13585
22uF,C10,0805,C45783
2.2uF,C12,0805,C49217
5.1k,R1 R2,0402,C25905
200k,R3 R4,0805,C17574
330R,R5,0402,C25104
10k,R6,0402,C25744
