Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
U1,15.0,40.0,Top,0
U2,65.0,40.0,Top,0
U3,40.0,40.0,Top,0
U4,65.0,67.0,Top,180
U5,15.0,67.0,Top,180
J1,50.0,15.0,Top,0
J2,50.0,22.0,Top,0
J3,88.0,40.0,Top,0
J4,15.0,4.0,Top,0
J5,88.0,67.0,Top,0
J6,40.0,72.0,Top,0
LED1,6.0,15.0,Top,0
LED2,6.0,25.0,Top,0
SW1,6.0,55.0,Top,0
MH1,4.0,4.0,Top,0
MH2,96.0,4.0,Top,0
MH3,4.0,76.0,Top,0
MH4,96.0,76.0,Top,0
D1,55.0,72.0,Top,0
L1,50.0,60.0,Top,0
C1,78.0,72.0,Top,0
C2,38.0,60.0,Top,0
C3,20.0,30.0,Top,0
C4,20.0,50.0,Top,0
C5,35.0,30.0,Top,0
C6,35.0,50.0,Top,0
C7,60.0,30.0,Top,0
C8,70.0,30.0,Top,0
C9,10.0,60.0,Top,0
C10,22.0,60.0,Top,0
C11,45.0,30.0,Top,0
C12,45.0,50.0,Top,0
R1,11.0,8.0,Top,0
R2,19.0,8.0,Top,0
R3,60.0,50.0,Top,90
R4,70.0,50.0,Top,90
R5,6.0,35.0,Top,90
R6,40.0,30.0,Top,0
