Comment,Designator,Footprint,LCSC Part#
DF40HC(3.0)-100DS-0.4V,J1 J2,CM5_CONN,C2906057
nRF5340-QKAA-R7,U2,NRF5340,C2676182
DW3720 (Qorvo QFN-48),U3,DW3720,C5264783
ES9038Q2M,U4,ES9038,C5181918
PCM1808PWR,U5 U6,PCM1808,C108818
TPA6120A2,U7,TPA6120,C87345
TPA3116D2DADR,U8,TPA3116,C37833
LM2596S-5.0/NOPB,U9,TO263,C29781
AMS1117-3.3,U10,SOT223,C6186
TYPE-C-16PIN-2MD (PD 5V/12V),J3,USBC,C2765186
HR911105A (10/100 w/ magnetics),J4,RJ45,C12084
HDMI-A-19P,J5,HDMI,C138388
PLT133/T10W Toslink RX,J6,TOSLINK,C496841
PLR135/T10W Toslink TX,J7,TOSLINK,C496842
BNC-50ohm PCB mount,J8,BNC,C97583
M.2 M-key 2242 socket,J9,M2_SOCKET,C5121839
6.35mm TRS Stereo,J10 J11 J12 J13 J18,TRS_635MM,C381135
NCJ6FA-V XLR/TRS Combo,J14 J15,XLR_COMBO,
NL4MP,J16 J17,SPEAKON,
Micro-SD push-push,J19,SD_SLOT,C585353
SMA Edge-Mount,J20,SMA,C496549
2.4GHz chip antenna,J21,ANT_CHIP,C318411
32MHz 3.2x2.5mm,Y1,XTAL_3225,C255909
32.768kHz,Y2,0603,C32346
WS2812B-5050,LED1 LED2 LED3 LED4 LED5 LED6,WS2812B,C114586
4-pos DIP switch,SW1,DIP4,C15781
EVQP0N02B,SW2,SW,C2936178
M4 mounting hole,MH1 MH2 MH3 MH4,M4_HOLE,
SS34 (3A Schottky),D1,SMB,C8678
33uH 3A,L1,IND_12MM,C408428
680uF/35V,C1,CAP_8MM,C249462
220uF/10V,C2,CAP_8MM,C65221
100nF,C3 C15 C17 C20 C21,0805,C49678
10uF,C4 C12 C14 C16 C18 C22 C23,0805,C15850
100nF,C5 C7 C9,0402,C1525
10nF,C6 C10,0402,C15195
4.7uF,C8,0402,C23733
100nF C0G,C11 C13,0805,C1808
10uF/50V,C19,1206,C13585
22uF,C24,0805,C45783
2.2nF C0G,C25 C26,0805,C1809
5.1k,R1 R2,0402,C25905
200k,R3 R4,0805,C17574
330R,R5,0402,C25104
10k,R6 R7,0402,C25744
4.7k,R8 R9,0402,C25900
1k,R10 R11,0805,C17513
75R,R12,0805,C17760
1M,R13,0402,C26083
