Comment,Designator,Footprint,LCSC Part#
DF40HC(3.0)-100DS-0.4V,J1 J2,CM5_CONN,C2906057
DW3000 (Qorvo QFN-48),U1,DW3000,C2843277
PCM5102APWR,U2 U3,PCM5102,C107634
PCM1808PWR,U4 U5,PCM1808,C108818
TPA3116D2DADR,U6,TPA3116,C37833
LM2596S-5.0/NOPB,U7,TO263,C29781
AMS1117-3.3,U8,SOT223,C6186
HR911105A (10/100 w/ magnetics),J3,RJ45,C12084
TYPE-C-16PIN-2MD (5V/3A),J4,USBC,C2765186
HDMI-A-19P,J5,HDMI,C138388
6.35mm TRS Stereo,J6 J7 J8 J9,TRS_635MM,C381135
NCJ6FA-V XLR/TRS Combo,J10 J11,XLR_COMBO,
NL4MP,J12 J13,SPEAKON,
Micro-SD push-push,J14,SD_SLOT,C585353
SMA Edge-Mount,J15,SMA,C496549
WS2812B-5050,LED1 LED2 LED3 LED4,WS2812B,C114586
4-pos DIP switch,SW1,DIP4,C15781
EVQP0N02B,SW2,SW,C2936178
M4 mounting hole,MH1 MH2 MH3 MH4,M4_HOLE,
SS34 (3A Schottky),D1,SMB,C8678
33uH 3A,L1,IND_12MM,C408428
680uF/35V,C1,CAP_8MM,C249462
220uF/10V,C2,CAP_8MM,C65221
100nF,C3 C7 C9 C11 C13 C16,0805,C49678
10uF,C4 C8 C10 C12 C14 C17,0805,C15850
100nF,C5,0402,C1525
10nF,C6,0402,C15195
10uF/50V,C15,1206,C13585
22uF,C18,0805,C45783
5.1k,R1 R2,0402,C25905
200k,R3 R4,0805,C17574
330R,R5,0402,C25104
10k,R6 R7 R8 R9,0402,C25744
