Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
J1,60.0,45.0,Top,0
J2,60.0,52.0,Top,0
U1,60.0,35.0,Top,0
U2,30.0,50.0,Top,0
U3,30.0,65.0,Top,0
U4,90.0,50.0,Top,0
U5,90.0,65.0,Top,0
U6,30.0,82.0,Top,0
U7,100.0,15.0,Top,180
U8,80.0,15.0,Top,180
J3,110.0,92.0,Top,0
J4,60.0,3.0,Top,0
J5,40.0,3.0,Top,0
J6,10.0,25.0,Top,0
J7,10.0,42.0,Top,0
J8,10.0,59.0,Top,0
J9,10.0,76.0,Top,0
J10,10.0,92.0,Top,0
J11,35.0,92.0,Top,0
J12,107.0,50.0,Top,0
J13,107.0,70.0,Top,0
J14,80.0,5.0,Top,0
J15,60.0,25.0,Top,0
LED1,50.0,10.0,Top,0
LED2,55.0,10.0,Top,0
LED3,60.0,10.0,Top,0
LED4,65.0,10.0,Top,0
SW1,75.0,10.0,Top,0
SW2,90.0,10.0,Top,0
MH1,4.0,4.0,Top,0
MH2,116.0,4.0,Top,0
MH3,4.0,96.0,Top,0
MH4,116.0,96.0,Top,0
D1,95.0,23.0,Top,0
L1,88.0,23.0,Top,0
C1,108.0,23.0,Top,0
C2,78.0,23.0,Top,0
C3,55.0,42.0,Top,0
C4,65.0,42.0,Top,0
C5,55.0,33.0,Top,0
C6,65.0,33.0,Top,0
C7,25.0,46.0,Top,0
C8,35.0,46.0,Top,0
C9,25.0,61.0,Top,0
C10,35.0,61.0,Top,0
C11,85.0,46.0,Top,0
C12,95.0,46.0,Top,0
C13,85.0,61.0,Top,0
C14,95.0,61.0,Top,0
C15,25.0,78.0,Top,0
C16,35.0,78.0,Top,0
C17,75.0,18.0,Top,0
C18,85.0,18.0,Top,0
R1,56.0,6.0,Top,0
R2,64.0,6.0,Top,0
R3,25.0,85.0,Top,90
R4,35.0,85.0,Top,90
R5,47.0,10.0,Top,0
R6,30.0,43.0,Top,0
R7,30.0,58.0,Top,0
R8,90.0,43.0,Top,0
R9,90.0,58.0,Top,0
