Comment,Designator,Footprint,LCSC Part #
JST-PH-2P,BT1,JST_PH2,C131337
100nF,C1 C2 C5 C7 C9 C16 C17 C18 C19 C25,0402,C1525
22uF,C13,0603,C45783
12pF,C14 C15,0402,C1547
1.5pF,C20,0402,C1546
2.2uF,C22 C23,0603,C12530
10uF,C3 C12 C24,0603,C15849
1uF,C4 C21,0402,C14445
10nF,C6,0402,C15195
10uF,C8 C10 C11,0402,C15849
WS2812B-2020,D1 D2,WS2812B,C2976072
TYPE-C-16PIN-2MD,J1,USBC,C2765186
PJ-320A (3.5mm TRS),J2,TRS_35MM,C18438
SMA Edge-Mount,J3,SMA,C496549
10uH,L1,0805,C408412
4.7uH,L2,0805,C408335
15nH,L3,0402,C76862
5.1k,R1 R2,0402,C25905
330R,R3,0402,C25104
4.7k,R4 R5,0402,C25900
10k,R6 R7 R8 R9 R10 R11,0402,C25744
Speaker 20mm Conn,SPK1,SPK_CONN,C160404
3x3mm Tactile SMD,SW1,SW,C2936178
nRF5340-QKAA-R7,U1,NRF5340,C2652073
DW3000 (Qorvo QFN-48),U2,DW3000,C2843371
AK5720VT,U3,AK5720,C2690387
PCM5102APWR,U4,PCM5102A,C108774
MAX98357AETE+T,U5,MAX98357,C1506581
nPM1300-QEAA-R7,U6,NPM1300,C5303826
32MHz 2012,Y1,XTAL_2012,C2762297
32.768kHz 1610,Y2,XTAL_1610,C2838510
38.4MHz TCXO,Y3,XTAL_1610,C2838510
