Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
U1,14.0,14.0,Top,0
U2,33.0,8.0,Top,0
U3,10.0,25.0,Top,0
U4,22.5,25.0,Top,0
U5,34.0,25.0,Top,0
U6,22.5,5.0,Top,0
Y1,10.0,10.0,Top,0
Y2,10.0,12.0,Top,0
J1,22.5,1.5,Top,0
J2,1.5,15.0,Top,90
J3,42.0,4.0,Top,0
J4,40.0,27.0,Top,0
D1,7.0,7.0,Top,0
D2,7.0,4.0,Top,0
SW1,3.5,25.0,Top,0
BT1,42.0,15.0,Top,0
SPK1,42.0,21.0,Top,0
MH1,2.5,2.5,Top,0
MH2,42.5,2.5,Top,0
MH3,2.5,27.5,Top,0
MH4,42.5,27.5,Top,0
C1,11.0,16.5,Top,0
C2,17.0,16.5,Top,0
C3,11.0,18.0,Top,0
C4,17.0,18.0,Top,0
C5,30.0,4.0,Top,0
C6,36.0,4.0,Top,0
C7,7.5,23.0,Top,0
C8,12.5,23.0,Top,0
C9,20.0,22.0,Top,0
C10,25.0,22.0,Top,0
C11,31.5,23.0,Top,0
C12,19.0,3.0,Top,0
C13,26.0,3.0,Top,0
C14,9.0,9.0,Top,0
C15,11.0,9.0,Top,0
R1,19.5,5.0,Top,90
R2,25.5,5.0,Top,90
R3,7.0,9.5,Top,90
R4,14.0,8.0,Top,0
R5,14.0,9.5,Top,0
R6,7.5,27.0,Top,0
R7,20.0,28.0,Top,0
R8,25.0,28.0,Top,0
R9,3.5,22.5,Top,0
L1,22.5,8.5,Top,0
L2,27.5,8.5,Top,0
Y3,36.0,10.0,Top,0
C16,30.0,6.0,Top,0
C17,36.0,6.0,Top,0
C18,30.0,10.0,Top,0
C19,36.0,12.0,Top,0
L3,38.0,6.0,Top,0
C20,38.0,8.0,Top,0
R10,30.0,12.0,Top,0
R11,20.0,27.0,Top,0
C21,25.0,27.0,Top,0
C22,20.0,20.0,Top,0
C23,25.0,20.0,Top,0
C24,22.5,20.0,Top,0
C25,22.5,27.0,Top,0
