Comment,Designator,Footprint,LCSC Part#
ESP32-S3-MINI-1-N8R2,U1,ESP32S3,C2913202
DW3000 (Qorvo QFN-48),U2,DW3000,C2843277
PCM1808PWR,U3,PCM1808,C108818
INMP441ACEZ-T,U4,INMP441,C145280
MAX98357AETE+T,U5,MAX98357,C1506581
MCP73831T-2ACI/OT,U6,SOT23_5,C424093
AP2112K-3.3TRG1,U7,SOT23_5,C51118
TYPE-C-16PIN-2MD,J1,USBC,C2765186
PJ-320A (3.5mm TRS),J2,TRS_35MM,C18438
SMA Edge-Mount,J3,SMA,C496549
WS2812B-2020,LED1 LED2,WS2812B,C2976072
EVQP0N02B,SW1,SW,C2936178
M2.5 mounting hole,MH1 MH2 MH3 MH4,M25_HOLE,
100nF,C1 C3 C5,0402,C1525
10uF,C2 C6 C9,0402,C15849
10nF,C4,0402,C15195
10uF,C7,0603,C15849
22uF,C8,0603,C45783
4.7uF,C10,0603,C19666
5.1k,R1 R2,0402,C25905
2k,R3,0402,C4109
330R,R4,0402,C25104
10k,R5 R6,0402,C25744
