Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
U1,13.0,17.5,Top,0
U2,35.0,10.0,Top,0
U3,35.0,22.0,Top,0
U4,5.0,5.0,Top,0
U5,25.0,30.0,Top,0
U6,25.0,5.0,Top,180
U7,15.0,5.0,Top,180
J1,25.0,2.0,Top,0
J2,43.0,28.0,Top,0
J3,46.0,5.0,Top,0
LED1,4.0,15.0,Top,0
LED2,4.0,20.0,Top,0
SW1,4.0,30.0,Top,0
MH1,3.0,3.0,Top,0
MH2,47.0,3.0,Top,0
MH3,3.0,32.0,Top,0
MH4,47.0,32.0,Top,0
C1,8.0,10.0,Top,0
C2,18.0,10.0,Top,0
C3,32.0,5.0,Top,0
C4,38.0,5.0,Top,0
C5,32.0,28.0,Top,0
C6,38.0,28.0,Top,0
C7,12.0,3.0,Top,0
C8,18.0,3.0,Top,0
C9,22.0,28.0,Top,0
C10,28.0,3.0,Top,0
R1,21.0,5.0,Top,0
R2,29.0,5.0,Top,0
R3,25.0,8.0,Top,0
R4,4.0,12.0,Top,90
R5,30.0,18.0,Top,0
R6,30.0,20.0,Top,0
