Comment,Designator,Footprint,LCSC Part#
ESP32-S3-WROOM-1-N16R8,U1,ESP32S3,C2913202
PCM1808PWR,U2,SOIC14,C93521
AMS1117-3.3,U3,SOT223,C6186
USBLC6-2SC6,U4,SOT236,C7519
PESD5V0S2BT,U5,SOT236,C2827654
TYPE-C-16PIN-2MD,J1,USBC,C2765186
PJ-320A,J2,JACK35,C145819
HR911105A,J3,RJ45,C12084
SMA-KE,J4 J5,SMA,C496554
DC-005,J6,BARREL,C381116
WS2812B-5050,LED1 LED2 LED3,WS2812B,C2761795
TS-1187A-B-A-B,SW1 SW2,SW6x6,C318884
M3 Mounting Hole,MH1 MH2 MH3 MH4,M3_HOLE,
BAT54C,D1 D2,SOD323,C181054
5.1k,R1 R2,0402,C25905
1k,R3 R4,0402,C11702
10k,R5 R6,0402,C25744
330,R7,0402,C25195
100nF,C1 C3 C7 C9 C10 C12,0402,C1525
10uF,C2 C4 C8 C11,0603,C19702
22uF,C5 C6,0805,C45783
