Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
U1,35.0,27.5,Top,0
U2,16.0,27.5,Top,0
U3,65.0,10.0,Top,180
U4,72.0,48.0,Top,0
U5,10.0,48.0,Top,0
J1,72.0,53.0,Top,0
J2,6.0,27.5,Top,90
J3,72.0,25.0,Top,0
J4,80.0,35.0,Top,90
J5,80.0,45.0,Top,90
J6,6.0,10.0,Top,0
LED1,42.5,6.0,Top,0
LED2,50.0,6.0,Top,0
LED3,57.5,6.0,Top,0
SW1,28.0,6.0,Top,0
SW2,18.0,6.0,Top,0
MH1,4.0,4.0,Top,0
MH2,81.0,4.0,Top,0
MH3,4.0,51.0,Top,0
MH4,81.0,51.0,Top,0
D1,50.0,10.0,Top,0
D2,20.0,10.0,Top,0
R1,66.0,50.0,Top,0
R2,78.0,50.0,Top,0
R3,10.0,22.0,Top,0
R4,10.0,33.0,Top,0
R5,48.0,14.0,Top,0
R6,48.0,17.0,Top,0
R7,35.0,6.0,Top,0
C1,24.0,18.0,Top,0
C2,24.0,38.0,Top,0
C3,44.0,43.0,Top,0
C4,44.0,46.0,Top,0
C5,55.0,7.0,Top,0
C6,65.0,7.0,Top,0
C7,16.0,20.0,Top,0
C8,16.0,35.0,Top,0
C9,22.0,25.0,Top,90
C10,22.0,30.0,Top,90
C11,72.0,44.0,Top,0
C12,72.0,41.0,Top,0
