Comment,Designator,Footprint,LCSC Part#
2x20 Pin Header 2.54mm,J1,PI40,C2977589
TPA3255DKDR,U1,HTSSOP36,C131460
PCM5102APWR,U2,SSOP20,C108765
LM2596S-5.0/NOPB,U3,TO263,C29781
AMS1117-3.3,U4,SOT223,C6186
Neutrik NL4MP,J2,SPEAKON,
HR911105A,J3,RJ45,C12084
TYPE-C-16PIN-2MD,J4,USBC,C2765186
PJ-002AH (5.5x2.1),J5,BARREL,C111588
2-pin header 2.54mm,J6,PIN2,C49257
WS2812B,LED1 LED2,LED5050,C2761795
NTC 5D-11 (5Ω),NTC1,0805,C82123
MF-MSMF250/24X (2.5A),F1,1812,C70069
SMBJ48A,D1,SMA,C134776
SS34 (3A 40V),D2,SOD123,C8678
33uH 3A shielded,L1,IND12,C408157
470uF/63V,C1 C2,ECAP10,C249469
220uF/16V,C3,ECAP10,C43331
100nF,C4 C8,0603,C1525
10uF,C5 C9 C10,0603,C19702
1uF/100V,C6 C7,0805_C,C302829
15k,R1 R2,0603,C22809
5.1k,R3 R4,0603,C23186
100R,R5,0603,C22775
