Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
J1,60.0,15.0,Top,0
U1,60.0,45.0,Top,0
U2,30.0,40.0,Top,0
U3,95.0,60.0,Top,180
U4,30.0,60.0,Top,180
J2,105.0,15.0,Top,0
J3,15.0,15.0,Top,0
J4,15.0,75.0,Top,180
J5,105.0,70.0,Top,0
J6,85.0,75.0,Top,0
LED1,45.0,72.0,Top,0
LED2,55.0,72.0,Top,0
NTC1,95.0,70.0,Top,0
F1,85.0,55.0,Top,0
D1,88.0,35.0,Top,0
D2,105.0,55.0,Top,0
L1,95.0,45.0,Top,0
C1,75.0,55.0,Top,0
C2,50.0,60.0,Top,0
C3,110.0,48.0,Top,0
C4,23.0,38.0,Top,90
C5,38.0,38.0,Top,90
C6,50.0,45.0,Top,90
C7,70.0,45.0,Top,90
C8,60.0,56.0,Top,0
C9,25.0,58.0,Top,0
C10,35.0,58.0,Top,0
R1,48.0,42.0,Top,0
R2,48.0,48.0,Top,0
R3,12.0,72.0,Top,0
R4,18.0,72.0,Top,0
R5,40.0,72.0,Top,0
