Designator,Mid X,Mid Y,Rotation,Layer
U1,15.00,20.00,0,top
U2,5.00,35.00,0,top
U3,25.00,35.00,0,top
U4,25.00,10.00,0,top
U5,5.00,5.00,0,top
U6,10.00,5.00,0,top
D1,15.00,5.00,0,top
LED1,15.00,37.00,0,top
J1,15.00,0.50,0,top
SW1,28.00,20.00,0,top
R1,8.00,12.00,0,top
R2,8.00,14.00,0,top
R3,12.00,2.00,0,top
R4,18.00,2.00,0,top
R5,26.00,18.00,0,top
R6,3.00,7.00,0,top
C1,18.00,18.00,0,top
C2,18.00,22.00,0,top
C3,12.00,7.00,0,top
C4,12.00,4.00,0,top
C5,3.00,4.00,0,top
C6,7.00,7.00,0,top
C7,23.00,12.00,0,top
C8,23.00,8.00,0,top
