Designator,Mid X,Mid Y,Rotation,Layer
ANT1,19.50mm,24.50mm,0,Top
BT1,20.50mm,7.50mm,0,Top
C1,17.50mm,17.00mm,0,Top
C10,10.00mm,7.00mm,0,Top
C11,9.00mm,6.00mm,0,Top
C12,13.00mm,6.00mm,0,Top
C13,19.00mm,6.00mm,0,Top
C14,8.50mm,16.00mm,90,Top
C15,8.50mm,14.00mm,90,Top
C16,21.00mm,23.00mm,0,Top
C2,10.50mm,17.00mm,0,Top
C3,17.50mm,11.00mm,0,Top
C4,10.50mm,11.00mm,0,Top
C5,19.00mm,14.00mm,90,Top
C6,9.00mm,14.00mm,90,Top
C7,18.00mm,22.00mm,0,Top
C8,21.50mm,22.00mm,0,Top
C9,21.50mm,18.50mm,90,Top
C_DEC1,16.00mm,18.00mm,0,Top
C_DEC2,12.00mm,18.00mm,0,Top
J1,14.00mm,2.50mm,0,Top
L1,21.00mm,21.50mm,0,Top
LED1,14.00mm,25.00mm,0,Top
R1,12.00mm,2.50mm,0,Top
R2,16.00mm,2.50mm,0,Top
R3,12.00mm,22.00mm,90,Top
R4,17.50mm,19.50mm,0,Top
R6,22.00mm,16.00mm,90,Top
R7,19.00mm,4.00mm,90,Top
SPK1,5.50mm,14.00mm,90,Top
SW1,24.00mm,14.00mm,90,Top
U1,14.00mm,14.00mm,0,Top
U2,19.50mm,20.00mm,0,Top
U3,9.00mm,8.50mm,0,Top
U4,11.00mm,4.50mm,0,Top
U5,17.00mm,4.50mm,0,Top
Y1,9.50mm,15.00mm,0,Top
Y2,9.50mm,13.50mm,0,Top
