Comment,Designator,Footprint,LCSC Part #,Qty,Assembly,Source,Notes
# === SMT Components (machine-placed) ===
DF40HC(3.0)-100DS CM5 Connector,J1 J2,CM5_CONN,C2906057,2,SMT,LCSC,Raspberry Pi CM5 connectors
nRF5340-QKAA-R7,U2,NRF5340,C2676182,1,SMT,LCSC,BLE 5.3 MCU
DW3720 QFN-48,U3,DW3720,C5264783,1,SMT,LCSC,UWB radio
ES9038Q2M,U4,ES9038,C5181918,1,SMT,LCSC,DAC
PCM1808PWR,U5 U6,PCM1808,C108818,2,SMT,LCSC,ADC (stereo pair)
TPA6120A2,U7,TPA6120,C87345,1,SMT,LCSC,Headphone amp
TPA3116D2DADR,U8,TPA3116,C37833,1,SMT,LCSC,Speaker amp 50W
LM2596S-5.0/NOPB,U9,TO263,C29781,1,SMT,LCSC,5V buck regulator
AMS1117-3.3,U10,SOT223,C6186,1,SMT,LCSC,3.3V LDO
TYPE-C-16PIN-2MD PD,J3,USBC,C2765186,1,SMT,LCSC,USB-C PD 5V/12V
HR911105A RJ45,J4,RJ45,C12084,1,SMT,LCSC,Ethernet w/ magnetics
HDMI-A-19P,J5,HDMI,C138388,1,SMT,LCSC,
PLT133/T10W Toslink RX,J6,TOSLINK,C496841,1,SMT,LCSC,
PLR135/T10W Toslink TX,J7,TOSLINK,C496842,1,SMT,LCSC,
BNC-50ohm,J8,BNC,C97583,1,SMT,LCSC,
M.2 M-key 2242,J9,M2_SOCKET,C5121839,1,SMT,LCSC,
6.35mm TRS Stereo,J10 J11 J12 J13 J18,TRS_635MM,C381135,5,SMT,LCSC,
Micro-SD push-push,J19,SD_SLOT,C585353,1,SMT,LCSC,
SMA Edge-Mount,J20,SMA,C496549,1,SMT,LCSC,
2.4GHz chip antenna,J21,ANT_CHIP,C318411,1,SMT,LCSC,
32MHz 3225,Y1,XTAL_3225,C255909,1,SMT,LCSC,
32.768kHz 0603,Y2,0603,C32346,1,SMT,LCSC,
WS2812B-5050,LED1-LED6,WS2812B,C114586,6,SMT,LCSC,Status LEDs
4-pos DIP switch,SW1,DIP4,C15781,1,SMT,LCSC,
EVQP0N02B Tactile,SW2,SW,C2936178,1,SMT,LCSC,
SS34 Schottky 3A,D1,SMB,C8678,1,SMT,LCSC,
33uH 3A,L1,IND_12MM,C408428,1,SMT,LCSC,
680uF/35V,C1,CAP_8MM,C249462,1,SMT,LCSC,
220uF/10V,C2,CAP_8MM,C65221,1,SMT,LCSC,
100nF 0805,C3 C15 C17 C20 C21,0805,C49678,5,SMT,LCSC,
10uF 0805,C4 C12 C14 C16 C18 C22 C23,0805,C15850,7,SMT,LCSC,
100nF 0402,C5 C7 C9,0402,C1525,3,SMT,LCSC,
10nF 0402,C6 C10,0402,C15195,2,SMT,LCSC,
4.7uF 0402,C8,0402,C23733,1,SMT,LCSC,
100nF C0G 0805,C11 C13,0805,C1808,2,SMT,LCSC,
10uF/50V 1206,C19,1206,C13585,1,SMT,LCSC,
22uF 0805,C24,0805,C45783,1,SMT,LCSC,
2.2nF C0G 0805,C25 C26,0805,C1809,2,SMT,LCSC,
5.1k 0402,R1 R2,0402,C25905,2,SMT,LCSC,
200k 0805,R3 R4,0805,C17574,2,SMT,LCSC,
330R 0402,R5,0402,C25104,1,SMT,LCSC,
10k 0402,R6 R7,0402,C25744,2,SMT,LCSC,
4.7k 0402,R8 R9,0402,C25900,2,SMT,LCSC,
1k 0805,R10 R11,0805,C17513,2,SMT,LCSC,
75R 0805,R12,0805,C17760,1,SMT,LCSC,
1M 0402,R13,0402,C26083,1,SMT,LCSC,
M4 mounting hole,MH1-MH4,M4_HOLE,,4,SMT,,Plated through-hole
# === Through-Hole / Manual Components ===
NCJ6FA-V XLR/TRS Combo,J14 J15,XLR_COMBO,N/A,2,MANUAL,Mouser/DigiKey,"Neutrik NCJ6FA-V. Hand-solder to PCB."
NL4MP Speakon,J16 J17,SPEAKON,N/A,2,MANUAL,Mouser/DigiKey,"Neutrik NL4MP. Hand-solder to PCB."
Raspberry Pi CM5 4GB WiFi,CM5,MODULE,N/A,1,MANUAL,PiShop/DigiKey,"SC1657. Press-fit onto J1+J2 connectors."
microSD 32GB,SD1,N/A,N/A,1,MANUAL,Amazon,"Pre-loaded with Hub OS image. Insert into J19."
UWB Antenna 6.5GHz SMA,ANT1,SMA,N/A,1,MANUAL,DigiKey,"Screw onto J20."
12V/5A DC Power Supply,PSU,N/A,N/A,1,MANUAL,Amazon,"USB-C PD adapter. Ship with unit."
# === Mechanical ===
3D Printed Enclosure Body,CASE,N/A,N/A,1,MECHANICAL,3D Print,"MJF Nylon PA12 Black. File: enclosure.stl"
3D Printed Lid,LID,N/A,N/A,1,MECHANICAL,3D Print,"MJF Nylon PA12 Black. Same STL file (lid is separate piece)."
M4x8mm Screw,SCR1-SCR4,N/A,N/A,4,MECHANICAL,,"For lid mounting. M4 thread into case standoffs."
Rubber Feet (self-adhesive),FEET1-FEET4,N/A,N/A,4,MECHANICAL,Amazon,"10mm diameter. Stick to bottom of case."
