Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
J1,70.0,55.0,Top,0
J2,70.0,62.0,Top,0
U2,25.0,20.0,Top,0
U3,115.0,20.0,Top,0
U4,55.0,100.0,Top,0
U5,25.0,65.0,Top,0
U6,25.0,80.0,Top,0
U7,75.0,108.0,Top,0
U8,40.0,108.0,Top,0
U9,120.0,15.0,Top,180
U10,100.0,15.0,Top,180
J3,70.0,3.0,Top,0
J4,50.0,7.0,Top,0
J5,90.0,3.0,Top,0
J6,132.0,50.0,Top,0
J7,132.0,65.0,Top,0
J8,132.0,82.0,Top,0
J9,95.0,45.0,Top,0
J10,10.0,35.0,Top,0
J11,10.0,52.0,Top,0
J12,10.0,69.0,Top,0
J13,10.0,86.0,Top,0
J14,10.0,108.0,Top,0
J15,35.0,108.0,Top,0
J16,100.0,108.0,Top,0
J17,125.0,108.0,Top,0
J18,85.0,113.0,Top,0
J19,35.0,5.0,Top,0
J20,133.0,15.0,Top,0
J21,15.0,10.0,Top,0
Y1,18.0,25.0,Top,0
Y2,32.0,25.0,Top,0
LED1,55.0,10.0,Top,0
LED2,60.0,10.0,Top,0
LED3,65.0,10.0,Top,0
LED4,70.0,10.0,Top,0
LED5,75.0,10.0,Top,0
LED6,80.0,10.0,Top,0
SW1,115.0,35.0,Top,0
SW2,130.0,35.0,Top,0
MH1,4.0,4.0,Top,0
MH2,136.0,4.0,Top,0
MH3,4.0,116.0,Top,0
MH4,136.0,116.0,Top,0
D1,115.0,25.0,Top,0
L1,108.0,25.0,Top,0
C1,128.0,25.0,Top,0
C2,98.0,25.0,Top,0
C3,65.0,52.0,Top,0
C4,75.0,52.0,Top,0
C5,20.0,16.0,Top,0
C6,30.0,16.0,Top,0
C7,20.0,28.0,Top,0
C8,30.0,28.0,Top,0
C9,110.0,16.0,Top,0
C10,120.0,28.0,Top,0
C11,50.0,95.0,Top,0
C12,60.0,95.0,Top,0
C13,50.0,105.0,Top,0
C14,60.0,105.0,Top,0
C15,20.0,62.0,Top,0
C16,30.0,62.0,Top,0
C17,20.0,77.0,Top,0
C18,30.0,77.0,Top,0
C19,35.0,104.0,Top,0
C20,45.0,104.0,Top,0
C21,70.0,104.0,Top,0
C22,80.0,104.0,Top,0
C23,95.0,18.0,Top,0
C24,105.0,18.0,Top,0
C25,48.0,100.0,Top,90
C26,62.0,100.0,Top,90
R1,66.0,6.0,Top,0
R2,74.0,6.0,Top,0
R3,35.0,112.0,Top,90
R4,45.0,112.0,Top,90
R5,52.0,10.0,Top,0
R6,25.0,59.0,Top,0
R7,25.0,74.0,Top,0
R8,55.0,93.0,Top,0
R9,55.0,107.0,Top,0
R10,70.0,112.0,Top,0
R11,80.0,112.0,Top,0
R12,128.0,78.0,Top,90
R13,18.0,30.0,Top,0
