Comment,Designator,Footprint,LCSC Part #,Qty,Assembly,Source,Notes
# === SMT Components (machine-placed) ===
JST-PH-2P Battery Connector,BT1,JST_PH2,C131337,1,SMT,LCSC,Battery connector
100nF 0402,C1 C2 C5 C7 C9 C16 C17 C18 C19 C25,0402,C1525,10,SMT,LCSC,
22uF 0603,C13,0603,C45783,1,SMT,LCSC,
12pF 0402,C14 C15,0402,C1547,2,SMT,LCSC,
1.5pF 0402,C20,0402,C1546,1,SMT,LCSC,
2.2uF 0603,C22 C23,0603,C12530,2,SMT,LCSC,
10uF 0603,C3 C12 C24,0603,C15849,3,SMT,LCSC,
1uF 0402,C4 C21,0402,C14445,2,SMT,LCSC,
10nF 0402,C6,0402,C15195,1,SMT,LCSC,
10uF 0402,C8 C10 C11,0402,C15849,3,SMT,LCSC,
WS2812B-2020,D1 D2,WS2812B,C2976072,2,SMT,LCSC,Status LEDs
TYPE-C-16PIN-2MD,J1,USBC,C2765186,1,SMT,LCSC,USB-C power/data
PJ-320A 3.5mm TRS,J2,TRS_35MM,C18438,1,SMT,LCSC,Audio output jack
SMA Edge-Mount,J3,SMA,C496549,1,SMT,LCSC,UWB antenna
10uH 0805,L1,0805,C408412,1,SMT,LCSC,
4.7uH 0805,L2,0805,C408335,1,SMT,LCSC,
15nH 0402,L3,0402,C76862,1,SMT,LCSC,
5.1k 0402,R1 R2,0402,C25905,2,SMT,LCSC,USB CC pull-down
330R 0402,R3,0402,C25104,1,SMT,LCSC,
4.7k 0402,R4 R5,0402,C25900,2,SMT,LCSC,
10k 0402,R6 R7 R8 R9 R10 R11,0402,C25744,6,SMT,LCSC,
Speaker 20mm Connector,SPK1,SPK_CONN,C160404,1,SMT,LCSC,Speaker connector
3x3mm Tactile SMD,SW1,SW,C2936178,1,SMT,LCSC,
nRF5340-QKAA-R7,U1,NRF5340,C2652073,1,SMT,LCSC,Main MCU (BLE 5.3)
DW3000 QFN-48,U2,DW3000,C2843371,1,SMT,LCSC,UWB radio
AK5720VT,U3,AK5720,C2690387,1,SMT,LCSC,24-bit ADC
PCM5102APWR,U4,PCM5102A,C108774,1,SMT,LCSC,32-bit DAC
MAX98357AETE+T,U5,MAX98357,C1506581,1,SMT,LCSC,I2S amplifier
nPM1300-QEAA-R7,U6,NPM1300,C5303826,1,SMT,LCSC,PMIC
32MHz 2012,Y1,XTAL_2012,C2762297,1,SMT,LCSC,
32.768kHz 1610,Y2,XTAL_1610,C2838510,1,SMT,LCSC,
38.4MHz TCXO,Y3,XTAL_1610,C2838510,1,SMT,LCSC,UWB clock
# === Manual Components (hand-soldered by assembly house) ===
LiPo Battery 3.7V 800mAh,BATT,WIRE,N/A,1,MANUAL,AliExpress/Adafruit,"802535 size (8x25x35mm). Connect to JST-PH connector BT1. Verify polarity: red=+, black=-"
Micro Speaker 20mm 8ohm 1W,SPK,WIRE,N/A,1,MANUAL,AliExpress,"Connect to SPK1 connector pads. Solder 40mm 30AWG wires."
UWB Antenna 6.5GHz,ANT,SMA,N/A,1,MANUAL,DigiKey/Mouser,"Screw onto J3 SMA connector. Any 6.5GHz UWB-compatible SMA antenna."
# === Mechanical (assembled into enclosure) ===
3D Printed Enclosure Bottom,CASE_BOT,N/A,N/A,1,MECHANICAL,3D Print,"SLA Black Resin. File: enclosure.stl"
3D Printed Enclosure Top,CASE_TOP,N/A,N/A,1,MECHANICAL,3D Print,"SLA Black Resin. File: enclosure.stl"
Kapton Tape 10mm,TAPE,N/A,N/A,1pc,MECHANICAL,AliExpress,"Insulate battery from PCB"
